紹介ID	紹介日	紹介時間	AL店舗番号	AL店舗名	担当者	統括エリア	都道府県	東西	最新ステータス	契約時間	契約サービス	光サービス	ISP申込	ひかり電話	ウィルスクリア	リモートサポート	無線ルータ	契約日	コミュファ光	ひかりTVパー	無料PC申込
1843600257	08-Aug-13	F(20-LAST)	f027	プライム蒲田店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600258	08-Aug-13	F(20-LAST)	f027	プライム蒲田店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600259	08-Aug-13	F(20-LAST)	g5012	株式会社エイブル 　戸畑駅前店	エイブル西	北九州	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600260	08-Aug-13	F(20-LAST)	f027	プライム蒲田店	既存店	アエラスグループ	東京都	東	契約	C(14-16)	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）	有線	2013/8/24	サダ	案内了承	特典なし
1843600261	08-Aug-13	F(20-LAST)	g5012	株式会社エイブル 　戸畑駅前店	エイブル西	北九州	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600262	08-Aug-13	F(20-LAST)	w204	株式会社ハウスパートナー金町店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600263	08-Aug-13	F(20-LAST)	f027	プライム蒲田店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600264	08-Aug-13	F(20-LAST)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600265	08-Aug-13	F(20-LAST)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843600141	07-Aug-13	Ａ(10-12)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600142	07-Aug-13	Ａ(10-12)	w455	ハウス・トゥ・ハウス・ネットサービス株式会社　赤羽店	ハウス・トゥ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600143	07-Aug-13	Ａ(10-12)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600144	07-Aug-13	Ａ(10-12)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843600145	07-Aug-13	Ａ(10-12)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600146	07-Aug-13	Ａ(10-12)	f020	プライム中野店	既存店	アエラスグループ	東京都	東	契約	C(14-16)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/10	フジワラミドリ	未入力	
1843600148	07-Aug-13	A(10-12)	g1003	株式会社エイブル 　岩倉店	エイブル西	東海北	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600149	07-Aug-13	A(10-12)	g1004	株式会社エイブル 　春日井店	エイブル西	東海北	愛知県	西	契約	B(12-14）	フレッツ光	3N（ネ_隼ミニ）	OCN（2年割）	未入力	ウィルス無	客意NG	無線	2013/8/17	オザキ	案内了承	特典なし
1843600150	07-Aug-13	A(10-12)	g1011	株式会社エイブル 　矢場町店	エイブル西	東海南	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600151	07-Aug-13	A(10-12)	g5020	株式会社エイブル 　新宮店	エイブル西	福岡北	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600152	07-Aug-13	A(10-12)	g5020	株式会社エイブル 　新宮店	エイブル西	福岡北	福岡県	西	契約	F(20-LAST)	フレッツ光	3M（ネ_隼）	OCN（2年割）	未入力	ウィルス無	3C（ネ）	不要	2013/8/16	ヨシダ	案内了承	特典なし
1843600153	07-Aug-13	A(10-12)	g5020	株式会社エイブル 　新宮店	エイブル西	福岡北	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600154	07-Aug-13	A(10-12)	e3032	株式会社エイブル 　南柏店	エイブル	千葉	千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600156	07-Aug-13	B(12-14)	e6010	株式会社エイブル 　川口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600157	07-Aug-13	B(12-14)	g1030	株式会社エイブル 　岡崎店	エイブル西	東海南	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600158	07-Aug-13	C(14-16)	w479	株式会社ワンステップハウス　浦和店	既存店		埼玉県	東	契約	E(18-20)	フレッツ光	81（Bﾌﾚ）	無	未入力	客意NG	客意NG		2013/8/12	オザキ	案内了承	特典なし
1843600159	07-Aug-13	C(14-16)	e3031	株式会社エイブル 　柏西口店	エイブル	千葉	千葉県	東	契約	D(16-18)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/10	イシカワ	未入力	
1843600161	07-Aug-13	C(14-16)	f005	アエラス目黒店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600162	07-Aug-13	D(16-18)	e2059	株式会社エイブル 　ひばりケ丘店	エイブル	東京北	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600163	07-Aug-13	D(16-18)	e6007	株式会社エイブル 　大宮西口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600164	07-Aug-13	D(16-18)	e7006	株式会社エイブル 　県庁市役所前店	エイブル	仙台	宮城県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600165	07-Aug-13	D(16-18)	e3032	株式会社エイブル 　南柏店	エイブル	千葉	千葉県	東	契約	D(16-18)	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）		2013/8/10	イトウカズエ	案内了承	特典なし
1843600166	07-Aug-13	D(16-18)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600167	07-Aug-13	D(16-18)	e6031	株式会社エイブル 　ふじみ野店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600168	07-Aug-13	D(16-18)	e6031	株式会社エイブル 　ふじみ野店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600169	07-Aug-13	D(16-18)	g2004	株式会社エイブル 　西院店	エイブル西	京都	京都府	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600170	07-Aug-13	D(16-18)	e2044	株式会社エイブル 　石神井公園店	エイブル	東京北	東京都	東	契約	B(12-14）	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	HS（Bﾌﾚ）	HY（Bﾌﾚ）	光ポータブル	2013/8/9	アサト	不可	特典なし
1843600171	07-Aug-13	D(16-18)	e7004	株式会社エイブル 　泉中央店	エイブル	仙台	宮城県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600173	07-Aug-13	D(16-18)	e2019	株式会社エイブル 　鷺ノ宮店	エイブル	東京西	東京都	東	契約	D(16-18)	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	ウィルス無	3C（ネ）		2013/8/15	サトウユキ	案内了承	特典なし
1843600174	07-Aug-13	E(18-20)	e2050	株式会社エイブル 　三鷹店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600175	07-Aug-13	E(18-20)	g1004	株式会社エイブル 　春日井店	エイブル西	東海北	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600176	07-Aug-13	E(18-20)	g1007	株式会社エイブル 　栄店	エイブル西	東海南	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600177	07-Aug-13	E(18-20)	e2049	株式会社エイブル 　吉祥寺南口店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600178	07-Aug-13	E(18-20)	g4018	株式会社エイブル 　西宮店	エイブル西	兵庫東	兵庫県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600179	07-Aug-13	E(18-20)	g1018	株式会社エイブル 　星ヶ丘店	エイブル西	東海北	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600180	07-Aug-13	E(18-20)	e4036	株式会社エイブル 　相模大野店	エイブル	神奈川西	神奈川県	東	契約	A(10-12）	UCOM	2R(HF)	OCN（2年割）	未入力	3B（ネ）	3C（ネ）		2013/8/8	サトウユキ	案内了承	特典なし
1843600181	07-Aug-13	E(18-20)	e7002	株式会社エイブル 　長町店	エイブル	仙台	宮城県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600182	07-Aug-13	E(18-20)	e4061	株式会社エイブル 　小田原店	エイブル	神奈川南	神奈川県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600183	07-Aug-13	F(20-LAST)	e4066	株式会社エイブル 　平塚店	エイブル	神奈川南	神奈川県	東	契約	E(18-20)	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	ウィルス無	HY（Bﾌﾚ）	光ポータブル	08-Aug-13	イシカワ	案内了承	
1843600184	07-Aug-13	F(20-LAST)	g2004	株式会社エイブル 　西院店	エイブル西	京都	京都府	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600185	07-Aug-13	F(20-LAST)	e6031	株式会社エイブル 　ふじみ野店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600186	07-Aug-13	F(20-LAST)	w451	ハウス・トゥ・ハウス・ネットサービス株式会社　大山店	ハウス・トゥ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600058	06-Aug-13	A(10-12)	f008	ソレイユ高田馬場店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600059	06-Aug-13	A(10-12)	f008	ソレイユ高田馬場店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600060	06-Aug-13	A(10-12)	f008	ソレイユ高田馬場店	既存店	アエラスグループ	東京都	東	契約	B(12-14）	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）		2013/8/6	ハセガワ	案内了承	特典なし
1843600061	06-Aug-13	A(10-12)	f011	ソレイユ上野店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600062	06-Aug-13	A(10-12)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600063	06-Aug-13	A(10-12)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600064	06-Aug-13	A(10-12)	f032	アエラス荻窪店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600065	06-Aug-13	A(10-12)	e6010	株式会社エイブル 　川口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600066	06-Aug-13	A(10-12)	e2047	株式会社エイブル 　大泉学園店	エイブル	東京北	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600067	06-Aug-13	A(10-12)	e2047	株式会社エイブル 　大泉学園店	エイブル	東京北	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600069	06-Aug-13	B(12-14)	g5019	株式会社エイブル 　粕屋店	エイブル西	福岡北	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600070	06-Aug-13	B(12-14)	g5019	株式会社エイブル 　粕屋店	エイブル西	福岡北	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600071	06-Aug-13	B(12-14)	g1009	株式会社エイブル 　大曽根店	エイブル西	東海北	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600072	06-Aug-13	B(12-14)	w495	株式会社ハウスパートナー竹ノ塚店	ハウパ		東京都	東	契約	C(14-16)	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	ウィルス無	HY（Bﾌﾚ）	無線	2013/8/8	カワイ	案内了承	特典なし
1843600073	06-Aug-13	B(12-14)	w200	株式会社ハウスパートナー 南柏店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600074	06-Aug-13	B(12-14)	w201	株式会社ハウスパートナー綾瀬店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600075	06-Aug-13	B(12-14)	w203	株式会社ハウスパートナー新松戸店	ハウパ		千葉県	東	契約	D(16-18)	フレッツ光	2S(ﾈ光）	無	未入力	3B（ネ）	3C（ネ）		07-Aug-13	ヨシダ	案内了承	特典なし
1843600076	06-Aug-13	B(12-14)	f018	プライム池袋店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600077	06-Aug-13	B(12-14)	f020	プライム中野店	既存店	アエラスグループ	東京都	東	契約	B(12-14）	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/10	イトウカズエ	未入力	
1843600078	06-Aug-13	B(12-14)	f020	プライム中野店	既存店	アエラスグループ	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843600080	06-Aug-13	D(16-18)	w482	ハウス・トゥ・ハウス・ネットサービス株式会社　日暮里店	ハウス・トゥ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600081	06-Aug-13	D(16-18)	w191	株式会社ハウスパートナー 松戸店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600082	06-Aug-13	D(16-18)	w504	株式会社ハウスパートナー 錦糸町店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600083	06-Aug-13	D(16-18)	w453	ハウス・トゥ・ハウス・ネットサービス株式会社　板橋東口店	ハウス・トゥ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600084	06-Aug-13	D(16-18)	w206	株式会社ハウスパートナー柏西口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600086	06-Aug-13	E(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600087	06-Aug-13	E(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	契約	F(20-LAST)	フレッツ光	RW（ﾌﾟﾚV）	OCN（2年割）	未入力	ウィルス無	BK（ﾌﾟﾚ）	無線	2013/8/6	カワイ	案内了承	特典なし
1843600088	06-Aug-13	E(18-20)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600089	06-Aug-13	E(18-20)	w228	株式会社ハウスパートナー亀有店	ハウパ		東京都	東	契約	B(12-14）	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）		2013/8/28	シカダ	案内了承	ミニノートPC
1843600090	06-Aug-13	E(18-20)	w204	株式会社ハウスパートナー金町店	ハウパ		埼玉県	東	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843600091	06-Aug-13	E(18-20)	w191	株式会社ハウスパートナー 松戸店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600092	06-Aug-13	E(18-20)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600093	06-Aug-13	E(18-20)	e2045	株式会社エイブル 　上石神井店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600094	06-Aug-13	E(18-20)	w206	株式会社ハウスパートナー柏西口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600095	06-Aug-13	E(18-20)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600096	06-Aug-13	E(18-20)	e2015	株式会社エイブル 　中野店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600097	06-Aug-13	E(18-20)	w202	株式会社ハウスパートナー北千住店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600098	06-Aug-13	E(18-20)	w495	株式会社ハウスパートナー竹ノ塚店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600099	06-Aug-13	E(18-20)	e2059	株式会社エイブル 　ひばりケ丘店	エイブル	東京北	東京都	東	契約	B(12-14）	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	HS（Bﾌﾚ）	HY（Bﾌﾚ）		20-Sep-13	ハセガワユウヤ	案内了承	特典なし
1843600100	06-Aug-13	E(18-20)	f028	プライム綾瀬店	既存店	アエラスグループ	東京都	東	契約	B(12-14）	Umobile	未入力	未入力	未入力	未入力	未入力		2013/8/21	イトウカズエ	未入力	
1843600101	06-Aug-13	E(18-20)	e2045	株式会社エイブル 　上石神井店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600102	06-Aug-13	E(18-20)	f018	プライム池袋店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600103	06-Aug-13	E(18-20)	f029	アエラス新小岩店	既存店	アエラスグループ	千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600104	06-Aug-13	E(18-20)	e1021	株式会社エイブル 　北千住店	エイブル	東京東	東京都	東	契約	A(10-12）	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/8	アサト	未入力	
1843600105	06-Aug-13	E(18-20)	f018	プライム池袋店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600106	06-Aug-13	E(18-20)	e7003	株式会社エイブル 　つつじが岡店	エイブル	仙台	宮城県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600107	06-Aug-13	E(18-20)	e2037	株式会社エイブル 　ときわ台店	エイブル	東京北	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600108	06-Aug-13	E(18-20)	e2045	株式会社エイブル 　上石神井店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600109	06-Aug-13	E(18-20)	e2050	株式会社エイブル 　三鷹店	エイブル	東京西	東京都	東	契約	E(18-20)	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）	光ポータブル	2013/8/9	サトウユキ	案内了承	特典なし
1843600110	06-Aug-13	E(18-20)	f004	アエラス赤羽店	既存店	アエラスグループ	東京都	東	契約	C(14-16)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/10	フジワラミドリ	未入力	
1843600111	06-Aug-13	E(18-20)	F010	ソレイユ川口店	既存店	アエラスグループ	埼玉県	東	契約	F(20-LAST)	フレッツ光	2C(ﾈV)	OCN（2年割）	【ネ】エース（4B）	3B（ネ）	3C（ネ）		2013/8/19	ハセガワ	案内了承	ミニノートPC
1843600112	06-Aug-13	F(20-LAST)	w206	株式会社ハウスパートナー柏西口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600113	06-Aug-13	F(20-LAST)	w191	株式会社ハウスパートナー 松戸店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600114	06-Aug-13	F(20-LAST)	w200	株式会社ハウスパートナー 南柏店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600116	06-Aug-13	F(20-LAST)	w204	株式会社ハウスパートナー金町店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600117	06-Aug-13	F(20-LAST)	f008	ソレイユ高田馬場店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600118	06-Aug-13	F(20-LAST)	f007	アエラス代々木店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600119	06-Aug-13	F(20-LAST)	f011	ソレイユ上野店	既存店	アエラスグループ	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600120	06-Aug-13	F(20-LAST)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600121	06-Aug-13	F(20-LAST)	w466	株式会社ハウスパートナー青戸店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600122	06-Aug-13	F(20-LAST)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600123	06-Aug-13	F(20-LAST)	w228	株式会社ハウスパートナー亀有店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600124	06-Aug-13	F(20-LAST)	e1015	株式会社エイブル 　茗荷谷店	エイブル	東京北	東京都	東	契約	E(18-20)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/7	フジワラミドリ	未入力	
1843600125	06-Aug-13	F(20-LAST)	e2045	株式会社エイブル 　上石神井店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600126	06-Aug-13	F(20-LAST)	e6033	株式会社エイブル 　入間店	エイブル	埼玉	埼玉県	東	契約	F(20-LAST)	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	【B】基本（PJ）	HS（Bﾌﾚ）	客意NG		2013/8/8	オザキ	案内了承	特典なし
1843600127	06-Aug-13	F(20-LAST)	e2060	株式会社エイブル 　田無店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600128	06-Aug-13	F(20-LAST)	g1029	株式会社エイブル 　豊田店	エイブル西	東海南	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600129	06-Aug-13	F(20-LAST)	g1014	株式会社エイブル 　浄心店	エイブル西	東海北	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600130	06-Aug-13	F(20-LAST)	g1019	株式会社エイブル 　天白店	エイブル西	東海北	愛知県	西	契約	F(20-LAST)	フレッツ光	3M（ネ_隼）	OCN（2年割）	未入力	ウィルス無	3C（ネ）	無線	2013/8/25	サトウユキ	案内了承	特典なし
1843600131	06-Aug-13	F(20-LAST)	g1006	株式会社エイブル 　西春店	エイブル西	東海北	愛知県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600132	06-Aug-13	F(20-LAST)	w202	株式会社ハウスパートナー北千住店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600133	06-Aug-13	F(20-LAST)	w505	株式会社ハウスパートナー 八柱店	ハウパ		千葉県	東	契約	D(16-18)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/7	アサト	未入力	
1843600134	06-Aug-13	F(20-LAST)	w191	株式会社ハウスパートナー 松戸店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600135	06-Aug-13	F(20-LAST)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600136	06-Aug-13	F(20-LAST)	f010	ソレイユ川口店	既存店	アエラスグループ	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600137	06-Aug-13	F(20-LAST)	w499	ハウス・トゥ・ハウス・ネットサービス株式会社　板橋区役所前店	ハウス・トゥ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600138	06-Aug-13	F(20-LAST)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600139	06-Aug-13	F(20-LAST)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843600140	06-Aug-13	F(20-LAST)	w504	株式会社ハウスパートナー 錦糸町店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599962	05-Aug-13	A(10-12)	e6036	株式会社エイブル 　上尾店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599963	05-Aug-13	A(10-12)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599964	05-Aug-13	A(10-12)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力			カワイ	未入力	
1843599965	05-Aug-13	Ａ(10-12)	f002	アエラス池袋西口店	既存店	アエラスグループ	東京都	東	契約	C(14-16)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/5	イトウカズエ	未入力	
1843599966	05-Aug-13	Ａ(10-12)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599967	05-Aug-13	Ａ(10-12)	f020	プライム中野店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599968	05-Aug-13	A(10-12)	e7004	株式会社エイブル 　泉中央店	エイブル	仙台	宮城県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599969	05-Aug-13	Ａ(10-12)	f020	プライム中野店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599970	05-Aug-13	Ａ(10-12)	f008	ソレイユ高田馬場店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599971	05-Aug-13	A(10-12)	e6018	株式会社エイブル 　武蔵浦和店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599972	05-Aug-13	Ａ(10-12)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599973	05-Aug-13	Ａ(10-12)	f029	アエラス新小岩店	既存店	アエラスグループ	千葉県	東	契約	C(14-16)	フレッツ光（移転）	未入力	未入力	未入力	未入力	未入力		2013/8/9	イシカワ	未入力	
1843599974	05-Aug-13	Ａ(10-12)	f029	アエラス新小岩店	既存店	アエラスグループ	千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599975	05-Aug-13	Ａ(10-12)	f029	アエラス新小岩店	既存店	アエラスグループ	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843599976	05-Aug-13	Ａ(10-12)	f029	アエラス新小岩店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599977	05-Aug-13	Ａ(10-12)	f029	アエラス新小岩店	既存店	アエラスグループ	千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599978	05-Aug-13	B(12-14)	g5006	株式会社エイブル 　五日市店	エイブル西	広島	広島県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843599979	05-Aug-13	B(12-14)	g3079	株式会社エイブル 　谷町平野店	エイブル西	大阪東	大阪府	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
